old_sku,old_item_name,old_category,old_unit,old_cost,old_retail,old_qty,new_sku,new_item_name,new_category,action,selected_source,notes
FGB-STK-BEV-0006,Dasani 1 Ltr,BAR DRINKS,bottle,0.0,100.0,0.0,FGH-SOFT-DRINKS-002,DASANI 1L,SOFT DRINKS,RENAME,YES,Category → SOFT DRINKS; Name → DASANI 1L
FGB-STK-BEV-0005,Dasani 1/2,BAR DRINKS,bottle,0.0,50.0,0.0,FGH-SOFT-DRINKS-003,DASANI 500ML,SOFT DRINKS,KEEP / RENAME,YES,Category → SOFT DRINKS; Name → DASANI 500ML
MOG-BAR-0121,DASANI 500ML,BAR DRINKS,each,0.0,50.0,0.0,FGH-SOFT-DRINKS-003,DASANI 500ML,SOFT DRINKS,MERGE INTO,NO,Category → SOFT DRINKS
FGB-STK-MIX-0007,Delmonte,BAR DRINKS,bottle,0.0,350.0,0.0,FGH-SOFT-DRINKS-004,DELMONTE,SOFT DRINKS,RENAME,YES,Category → SOFT DRINKS
FGB-BER-0011,Desperado,BAR DRINKS,bottle,285.0,350.0,996.0,FGH-BEERS-003,DESPERADO,BEERS,KEEP / RENAME,YES,Category → BEERS
FGB-STK-WHK-0031,Double Black 1 Ltr,BAR DRINKS,bottle,0.0,7000.0,0.0,FGH-WHISKY-013,DOUBLE BLACK 1L,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → DOUBLE BLACK 1L
FGB-COG-0002,Double Black 1L,BAR DRINKS,bottle,5875.0,7500.0,1000.0,FGH-WHISKY-013,DOUBLE BLACK 1L,WHISKY,KEEP / RENAME,YES,Category → WHISKY
FGB-STK-WHK-0030,Double Black 750 ml,BAR DRINKS,bottle,0.0,5800.0,0.0,FGH-WHISKY-014,DOUBLE BLACK 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → DOUBLE BLACK 750ML
MOG-BAR-0223,DROSDTY HOF RED,BAR DRINKS,each,0.0,1200.0,0.0,FGH-WINES-016,DROSTDY HOF RED,WINES,MERGE INTO,NO,Category → WINES; Name → DROSTDY HOF RED
MOG-BAR-0224,DROSDTY HOF WHITE,BAR DRINKS,each,0.0,1200.0,0.0,FGH-WINES-017,DROSTDY HOF WHITE,WINES,MERGE INTO,NO,Category → WINES; Name → DROSTDY HOF WHITE
FGB-STK-WIN-0003,Drostdy-Hof,BAR DRINKS,bottle,0.0,1200.0,0.0,FGH-WINES-018,DROSTDY-HOF,WINES,RENAME,YES,Category → WINES
FGB-WHK-0037,Famous Grouse,BAR DRINKS,bottle,1750.0,2500.0,1000.0,FGH-WHISKY-015,FAMOUS GROUSE 750ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → FAMOUS GROUSE 750ML
FGB-STK-CAN-0011,FAXE,BAR DRINKS,can,0.0,0.0,0.0,FGH-CANNED-BEERS-004,FAXE CAN,CANNED BEERS,MERGE INTO,NO,Category → CANNED BEERS; Name → FAXE CAN
FGB-STK-WIN-0006,Four Cousins,BAR DRINKS,bottle,0.0,1400.0,0.0,FGH-WINES-019,FOUR COUSINS,WINES,RENAME,YES,Category → WINES
FGB-STK-GIN-0002,Gilbeys Gin 1/2,BAR DRINKS,bottle,0.0,800.0,0.0,FGH-GIN-002,GILBEYS 350ML,GIN,MERGE INTO,NO,Category → GIN; Name → GILBEYS 350ML
FGB-STK-GIN-0001,Gilbeys Gin 1/4,BAR DRINKS,bottle,0.0,600.0,0.0,FGH-GIN-001,GILBEYS 250ML,GIN,MERGE INTO,NO,Category → GIN; Name → GILBEYS 250ML
FGB-STK-GIN-0003,Gilbeys Gin 750 ml,BAR DRINKS,bottle,0.0,1700.0,0.0,FGH-GIN-003,GILBEYS 750ML,GIN,MERGE INTO,NO,Category → GIN; Name → GILBEYS 750ML
FGB-STK-WHK-0021,Glenfiddich 12 Yrs,BAR DRINKS,bottle,0.0,7500.0,0.0,FGH-WHISKY-017,GLENFIDDICH SINGLE MALT 12 YRS,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → GLENFIDDICH SINGLE MALT 12 YRS
FGB-STK-WHK-0022,Glenfiddich 15 Yrs,BAR DRINKS,bottle,0.0,7500.0,0.0,FGH-WHISKY-018,GLENFIDDICH SINGLE MALT 15 YRS,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → GLENFIDDICH SINGLE MALT 15 YRS
MOG-BAR-0198,GLENFIDICH 12 YRS,BAR DRINKS,each,0.0,8500.0,0.0,FGH-WHISKY-017,GLENFIDDICH SINGLE MALT 12 YRS,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → GLENFIDDICH SINGLE MALT 12 YRS
MOG-BAR-0199,GLENFIDICH 15 YRS,BAR DRINKS,each,0.0,12000.0,0.0,FGH-WHISKY-018,GLENFIDDICH SINGLE MALT 15 YRS,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → GLENFIDDICH SINGLE MALT 15 YRS
MOG-BAR-0200,GLENFIDICH 18 YRS,BAR DRINKS,each,0.0,17500.0,0.0,FGH-WHISKY-016,GLENFIDDICH 18YRS 700ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → GLENFIDDICH 18YRS 700ML
FGB-CAN-0012,Gordons Can,BAR DRINKS,can,175.96,300.0,1000.0,FGH-CANNED-BEERS-005,GORDONS CAN,CANNED BEERS,RENAME,YES,Category → CANNED BEERS
MOG-BAR-0165,GORDONS DRY GIN 1 LTR,BAR DRINKS,each,0.0,3200.0,0.0,FGH-GIN-004,GORDONS 1L,GIN,MERGE INTO,NO,Category → GIN; Name → GORDONS 1L
MOG-BAR-0163,GORDONS DRY GIN 350ML,BAR DRINKS,each,0.0,1200.0,0.0,FGH-GIN-005,GORDONS 350ML,GIN,MERGE INTO,NO,Category → GIN; Name → GORDONS 350ML
FGB-STK-GIN-0005,Gordons Dry Gin 750 ml,BAR DRINKS,bottle,0.0,2500.0,0.0,FGH-GIN-006,GORDONS 750ML,GIN,MERGE INTO,NO,Category → GIN; Name → GORDONS 750ML
MOG-BAR-0164,GORDONS DRY GIN 750ML,BAR DRINKS,each,0.0,2500.0,0.0,FGH-GIN-006,GORDONS 750ML,GIN,MERGE INTO,NO,Category → GIN; Name → GORDONS 750ML
FGB-STK-WHK-0035,Grants 1/2,BAR DRINKS,bottle,0.0,1600.0,0.0,FGH-WHISKY-020,GRANTS 350ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → GRANTS 350ML
FGB-STK-WHK-0036,Grants 3/4,BAR DRINKS,bottle,0.0,2500.0,0.0,FGH-WHISKY-021,GRANTS 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → GRANTS 750ML
FGB-CAN-0005,Guarana,BAR DRINKS,can,175.96,250.0,1000.0,FGH-BEERS-004,GUARANA,BEERS,KEEP / RENAME,YES,Category → BEERS
FGB-CAN-0010,Guarana Punch,BAR DRINKS,can,175.96,250.0,1000.0,FGH-CANNED-BEERS-006,GUARANA PUNCH,CANNED BEERS,KEEP / RENAME,YES,Category → CANNED BEERS
FGB-BER-0005,Guiness,BAR DRINKS,bottle,204.0,300.0,1000.0,FGH-BEERS-005,GUINNESS,BEERS,KEEP / RENAME,YES,Category → BEERS; Name → GUINNESS
FGB-CAN-0001,Guiness Can,BAR DRINKS,can,216.71,300.0,1000.0,FGH-CANNED-BEERS-007,GUINNESS CAN,CANNED BEERS,KEEP / RENAME,YES,Category → CANNED BEERS; Name → GUINNESS CAN
FGB-STK-WHK-0023,Hennessy,BAR DRINKS,bottle,0.0,7500.0,0.0,FGH-COGNAC-001,HENNESSY,COGNAC,MERGE INTO,NO,Category → COGNAC
FGB-COG-0001,Hennessy 750ml,BAR DRINKS,bottle,4600.0,6500.0,1000.0,FGH-COGNAC-001,HENNESSY,COGNAC,KEEP / RENAME,YES,Category → COGNAC; Name → HENNESSY
FGB-STK-WHK-0024,Hennessy VSOP,BAR DRINKS,bottle,0.0,8500.0,0.0,FGH-COGNAC-004,HENNESSY VSOP 700ML,COGNAC,MERGE INTO,NO,Category → COGNAC; Name → HENNESSY VSOP 700ML
MOG-BAR-0204,HENNESY 1 LTR,BAR DRINKS,each,0.0,13500.0,0.0,FGH-COGNAC-002,HENNESSY 1L,COGNAC,RENAME,YES,Category → COGNAC; Name → HENNESSY 1L
MOG-BAR-0203,HENNESY 700ML,BAR DRINKS,each,0.0,7500.0,0.0,FGH-COGNAC-003,HENNESSY 700ML,COGNAC,RENAME,YES,Category → COGNAC; Name → HENNESSY 700ML
FGB-WHK-0019,Hunters 250ml,BAR DRINKS,bottle,306.0,306.0,994.0,FGH-SPIRITS-010,HUNTERS CHOICE 250ML,SPIRITS,KEEP / RENAME,YES,Category → SPIRITS; Name → HUNTERS CHOICE 250ML
FGB-WHK-0020,Hunters 350ml,BAR DRINKS,bottle,443.0,443.0,999.0,FGH-SPIRITS-011,HUNTERS CHOICE 350ML,SPIRITS,KEEP / RENAME,YES,Category → SPIRITS; Name → HUNTERS CHOICE 350ML
FGB-WHK-0021,Hunters 750ml,BAR DRINKS,bottle,938.0,938.0,1000.0,FGH-SPIRITS-012,HUNTERS CHOICE 750ML,SPIRITS,KEEP / RENAME,YES,Category → SPIRITS; Name → HUNTERS CHOICE 750ML
FGB-BER-0012,Hunters Beer,BAR DRINKS,bottle,203.0,203.0,1000.0,FGH-BEERS-007,HUNTERS BEER,BEERS,RENAME,YES,Category → BEERS
MOG-BAR-0153,HUNTERS GOLD,BAR DRINKS,each,0.0,0.0,0.0,FGH-BEERS-009,HUNTERS CIDER GOLD,BEERS,MERGE INTO,NO,Category → BEERS; Name → HUNTERS CIDER GOLD
MOG-BAR-0193,J. WALKER BLACK 1 LTR,BAR DRINKS,each,0.0,5500.0,0.0,FGH-WHISKY-036,JOHNNIE WALKER BLACK 1L,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER BLACK 1L
MOG-BAR-0190,J. WALKER BLACK 250ML,BAR DRINKS,each,0.0,1300.0,0.0,FGH-WHISKY-037,JOHNNIE WALKER BLACK 250ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER BLACK 250ML
MOG-BAR-0191,J. WALKER BLACK 350ML,BAR DRINKS,each,0.0,2500.0,0.0,FGH-WHISKY-038,JOHNNIE WALKER BLACK 350ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER BLACK 350ML
MOG-BAR-0192,J. WALKER BLACK 750ML,BAR DRINKS,each,0.0,4500.0,0.0,FGH-WHISKY-040,JOHNNIE WALKER BLACK 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER BLACK 750ML
MOG-BAR-0417,J. WALKER BLONDE,BAR DRINKS,each,0.0,4000.0,0.0,FGH-WHISKY-041,JOHNNIE WALKER BLONDE 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER BLONDE 750ML
MOG-BAR-0189,J. WALKER RED 1 LTR,BAR DRINKS,each,0.0,3000.0,0.0,FGH-WHISKY-043,JOHNNIE WALKER RED 1L,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER RED 1L
MOG-BAR-0186,J. WALKER RED 250ML,BAR DRINKS,each,0.0,1000.0,0.0,FGH-WHISKY-044,JOHNNIE WALKER RED 250ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER RED 250ML
MOG-BAR-0187,J. WALKER RED 350ML,BAR DRINKS,each,0.0,1700.0,0.0,FGH-WHISKY-045,JOHNNIE WALKER RED 350ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER RED 350ML
MOG-BAR-0188,J. WALKER RED 750ML,BAR DRINKS,each,0.0,2500.0,0.0,FGH-WHISKY-047,JOHNNIE WALKER RED 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER RED 750ML
FGB-STK-WHK-0012,J.W Black 1 Ltr,BAR DRINKS,bottle,0.0,5500.0,0.0,FGH-WHISKY-036,JOHNNIE WALKER BLACK 1L,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER BLACK 1L
FGB-STK-WHK-0010,J.W Black 1/2,BAR DRINKS,bottle,0.0,2200.0,0.0,FGH-WHISKY-026,J.W BLACK 1/2,WHISKY,RENAME,YES,Category → WHISKY
FGB-STK-WHK-0009,J.W Black 250 ml,BAR DRINKS,bottle,0.0,1300.0,0.0,FGH-WHISKY-037,JOHNNIE WALKER BLACK 250ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER BLACK 250ML
FGB-STK-WHK-0011,J.W Black 750 ml,BAR DRINKS,bottle,0.0,4500.0,0.0,FGH-WHISKY-040,JOHNNIE WALKER BLACK 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER BLACK 750ML
FGB-STK-WHK-0014,J.W Black Green Label 1 L,BAR DRINKS,bottle,0.0,7500.0,0.0,FGH-WHISKY-042,JOHNNIE WALKER GREEN LABEL 1L,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER GREEN LABEL 1L
FGB-STK-WHK-0013,J.W Blonde 750 ml,BAR DRINKS,bottle,0.0,3000.0,0.0,FGH-WHISKY-041,JOHNNIE WALKER BLONDE 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER BLONDE 750ML
FGB-STK-WHK-0008,J.W Red 1 Ltr,BAR DRINKS,bottle,0.0,3000.0,0.0,FGH-WHISKY-043,JOHNNIE WALKER RED 1L,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER RED 1L
FGB-STK-WHK-0005,J.W Red 250 ml,BAR DRINKS,bottle,0.0,800.0,0.0,FGH-WHISKY-044,JOHNNIE WALKER RED 250ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER RED 250ML
FGB-STK-WHK-0006,J.W Red 375 ml,BAR DRINKS,bottle,0.0,1700.0,0.0,FGH-WHISKY-046,JOHNNIE WALKER RED 375ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER RED 375ML
FGB-STK-WHK-0007,J.W Red 750 ml,BAR DRINKS,bottle,0.0,2500.0,0.0,FGH-WHISKY-047,JOHNNIE WALKER RED 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JOHNNIE WALKER RED 750ML
FGB-STK-WHK-0043,J&B 750 ml,BAR DRINKS,bottle,0.0,2400.0,0.0,FGH-WHISKY-025,J&B 750ML,WHISKY,RENAME,YES,Category → WHISKY; Name → J&B 750ML
FGB-WHK-0030,Jack Daniels 1L,BAR DRINKS,bottle,3300.0,5000.0,1000.0,FGH-WHISKY-027,JACK DANIELS 1L,WHISKY,KEEP / RENAME,YES,Category → WHISKY
FGB-STK-WHK-0027,Jack Daniels 350 ml,BAR DRINKS,bottle,0.0,2500.0,0.0,FGH-WHISKY-028,JACK DANIELS 350ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JACK DANIELS 350ML
FGB-STK-WHK-0028,Jack Daniels 750 ml,BAR DRINKS,bottle,0.0,4500.0,0.0,FGH-WHISKY-030,JACK DANIELS 750ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → JACK DANIELS 750ML
MOG-BAR-0206,JACK DANIELS 750ML,BAR DRINKS,each,0.0,4500.0,0.0,FGH-WHISKY-030,JACK DANIELS 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY
FGB-STK-WIN-0010,Jager,BAR DRINKS,bottle,0.0,6600.0,0.0,FGH-SPIRITS-014,JAGERMEISTER 700ML,SPIRITS,MERGE INTO,NO,Category → SPIRITS; Name → JAGERMEISTER 700ML
FGB-STK-WIN-0012,Jager Tot,BAR DRINKS,tot,0.0,200.0,0.0,FGH-TOTS-002,JAGER TOT,TOTS,KEEP / RENAME,YES,Category → TOTS
FGB-OTH-0002,Jagermeister,BAR DRINKS,bottle,2200.0,4000.0,1000.0,FGH-SPIRITS-014,JAGERMEISTER 700ML,SPIRITS,KEEP / RENAME,YES,Category → SPIRITS; Name → JAGERMEISTER 700ML
MOG-BAR-0236,JAGERMEISTER TOT,BAR DRINKS,each,0.0,200.0,0.0,FGH-TOTS-003,JAGERMEISTER TOT,TOTS,RENAME,YES,Category → TOTS
FGB-STK-WHK-0001,Jameson 1/2,BAR DRINKS,bottle,0.0,1600.0,0.0,FGH-WHISKY-033,JAMESON 350ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JAMESON 350ML
FGB-WHK-0033,Jameson 1L,BAR DRINKS,bottle,3168.0,4000.0,998.0,FGH-WHISKY-032,JAMESON 1L,WHISKY,KEEP / RENAME,YES,Category → WHISKY
FGB-STK-WHK-0002,Jameson 750 ml,BAR DRINKS,bottle,0.0,3000.0,0.0,FGH-WHISKY-034,JAMESON 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → JAMESON 750ML
FGB-WHK-0017,JW Black 1L,BAR DRINKS,bottle,3911.0,5000.0,997.0,FGH-WHISKY-036,JOHNNIE WALKER BLACK 1L,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → JOHNNIE WALKER BLACK 1L
FGB-WHK-0015,JW Black 350ml,BAR DRINKS,bottle,1720.0,2100.0,1000.0,FGH-WHISKY-038,JOHNNIE WALKER BLACK 350ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → JOHNNIE WALKER BLACK 350ML
FGB-WHK-0016,JW Black 750ml,BAR DRINKS,bottle,3236.0,3236.0,1000.0,FGH-WHISKY-040,JOHNNIE WALKER BLACK 750ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → JOHNNIE WALKER BLACK 750ML
FGB-WHK-0018,JW Blonde 750ml,BAR DRINKS,bottle,1991.0,3000.0,1000.0,FGH-WHISKY-041,JOHNNIE WALKER BLONDE 750ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → JOHNNIE WALKER BLONDE 750ML
FGB-WHK-0014,JW Red 1L,BAR DRINKS,bottle,2147.0,3000.0,990.0,FGH-WHISKY-043,JOHNNIE WALKER RED 1L,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → JOHNNIE WALKER RED 1L
FGB-WHK-0011,JW Red 250ml,BAR DRINKS,bottle,560.0,1000.0,1000.0,FGH-WHISKY-044,JOHNNIE WALKER RED 250ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → JOHNNIE WALKER RED 250ML
FGB-WHK-0012,JW Red 350ml,BAR DRINKS,bottle,853.0,1300.0,999.0,FGH-WHISKY-045,JOHNNIE WALKER RED 350ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → JOHNNIE WALKER RED 350ML
FGB-WHK-0013,JW Red 750ml,BAR DRINKS,bottle,1799.0,2500.0,995.0,FGH-WHISKY-047,JOHNNIE WALKER RED 750ML,WHISKY,KEEP / RENAME,YES,Category → WHISKY; Name → JOHNNIE WALKER RED 750ML
FGB-STK-SPR-0001,K.C 250 ml,BAR DRINKS,bottle,0.0,450.0,0.0,FGH-WHISKY-048,KC 250ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → KC 250ML
FGB-STK-SPR-0002,K.C 350 ml,BAR DRINKS,bottle,0.0,700.0,0.0,FGH-WHISKY-049,KC 350ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → KC 350ML
FGB-STK-SPR-0003,K.C 750 ml,BAR DRINKS,bottle,0.0,1200.0,0.0,FGH-WHISKY-050,KC 750ML,WHISKY,MERGE INTO,NO,Category → WHISKY; Name → KC 750ML
MOG-BAR-0124,Keringet Water 1L,BAR DRINKS,each,0.0,120.0,0.0,FGH-SOFT-DRINKS-011,KERINGET WATER 1L,SOFT DRINKS,RENAME,YES,Category → SOFT DRINKS
MOG-BAR-0123,Keringet Water 500ml,BAR DRINKS,each,0.0,70.0,0.0,FGH-SOFT-DRINKS-012,KERINGET WATER 500ML,SOFT DRINKS,RENAME,YES,Category → SOFT DRINKS
FGB-STK-BEV-0011,Lime Lemonade,BAR DRINKS,bottle,0.0,100.0,0.0,FGH-SOFT-DRINKS-014,LIME LEMONADE,SOFT DRINKS,RENAME,YES,Category → SOFT DRINKS
MOG-BAR-0201,MARTEL 750ML,BAR DRINKS,each,0.0,8500.0,0.0,FGH-COGNAC-005,MARTELL 750ML,COGNAC,MERGE INTO,NO,Category → COGNAC; Name → MARTELL 750ML
FGB-COG-0003,Martel VS,BAR DRINKS,bottle,4764.0,8500.0,1000.0,FGH-COGNAC-006,MARTELL VS 700ML,COGNAC,KEEP / RENAME,YES,Category → COGNAC; Name → MARTELL VS 700ML
